hospital_id,doctor_id,test_type,test_duration
2079,5079,CT Scan,104
2080,5080,Blood Test,84
2081,5081,CT Scan,105
2082,5082,Blood Test,147
2083,5083,CT Scan,134
2084,5084,CT Scan,124
2085,5085,CT Scan,124
2086,5086,Blood Test,49
2087,5087,CT Scan,144
2088,5088,Blood Test,72
2089,5089,CT Scan,84
2090,5090,CT Scan,150
2091,5091,CT Scan,143
2092,5092,X-Ray,64
2093,5093,Blood Test,119
2094,5094,Blood Test,150
2095,5095,MRI,83
2096,5096,Blood Test,73
2097,5097,Blood Test,61
2098,5098,Blood Test,121
2099,5099,MRI,90
2100,5100,Blood Test,169
2101,5101,X-Ray,172
2102,5102,MRI,126
2103,5103,MRI,92
2104,5104,Blood Test,21
2105,5105,X-Ray,159
2106,5106,CT Scan,21
2107,5107,X-Ray,141
2108,5108,Blood Test,23
2109,5109,X-Ray,128
2110,5110,MRI,34
2111,5111,Blood Test,136
2112,5112,MRI,104
2113,5113,CT Scan,111
2114,5114,Blood Test,22
2115,5115,CT Scan,127
2116,5116,CT Scan,123
2117,5117,CT Scan,90
2118,5118,CT Scan,28
2119,5119,CT Scan,160
2120,5120,Blood Test,77
2121,5121,CT Scan,103
2122,5122,X-Ray,89
2123,5123,X-Ray,42
2124,5124,CT Scan,120
2125,5125,CT Scan,147
2126,5126,CT Scan,92
2127,5127,CT Scan,166
2128,5128,MRI,178
2129,5129,Blood Test,21
2130,5130,Blood Test,104
2131,5131,X-Ray,112
2132,5132,MRI,50
2133,5133,CT Scan,145
2134,5134,MRI,73
2135,5135,Blood Test,66
2136,5136,MRI,62
2137,5137,CT Scan,128
2138,5138,MRI,133
2139,5139,X-Ray,156
2140,5140,CT Scan,60
2141,5141,CT Scan,82
2142,5142,Blood Test,116
2143,5143,Blood Test,98
2144,5144,X-Ray,59
2145,5145,X-Ray,119
2146,5146,MRI,86
2147,5147,Blood Test,139
2148,5148,Blood Test,37
2149,5149,MRI,70
2150,5150,Blood Test,17
2151,5151,X-Ray,88
2152,5152,Blood Test,162
2153,5153,MRI,76
2154,5154,X-Ray,21
2155,5155,X-Ray,131
2156,5156,CT Scan,79
2157,5157,MRI,104
2158,5158,X-Ray,137
2159,5159,CT Scan,101
2160,5160,Blood Test,97
2161,5161,Blood Test,30
2162,5162,MRI,33
2163,5163,CT Scan,99
2164,5164,MRI,99
2165,5165,CT Scan,24
2166,5166,X-Ray,30
2167,5167,X-Ray,158
2168,5168,X-Ray,102
2169,5169,Blood Test,56
2170,5170,Blood Test,30
2171,5171,CT Scan,28
2172,5172,Blood Test,92
2173,5173,MRI,137
2174,5174,Blood Test,48
2175,5175,X-Ray,108
2176,5176,MRI,30
2177,5177,Blood Test,177
2178,5178,CT Scan,81
2179,5179,Blood Test,108
2180,5180,Blood Test,128
2181,5181,CT Scan,112
2182,5182,Blood Test,160
2183,5183,CT Scan,54
2184,5184,CT Scan,173
2185,5185,Blood Test,140
2186,5186,X-Ray,172
2187,5187,Blood Test,69
2188,5188,X-Ray,61
2189,5189,X-Ray,38
2190,5190,Blood Test,17
2191,5191,Blood Test,48
2192,5192,Blood Test,153
2193,5193,Blood Test,41
2194,5194,Blood Test,111
2195,5195,MRI,28
2196,5196,CT Scan,93
2197,5197,MRI,171
2198,5198,Blood Test,63
2199,5199,CT Scan,179
2200,5200,Blood Test,74
2201,5201,CT Scan,88
2202,5202,Blood Test,97
2203,5203,Blood Test,133
2204,5204,MRI,110
2205,5205,MRI,62
2206,5206,Blood Test,175
2207,5207,CT Scan,77
2208,5208,X-Ray,39
2209,5209,CT Scan,152
2210,5210,Blood Test,34
2211,5211,MRI,64
2212,5212,CT Scan,21
2213,5213,MRI,129
2214,5214,X-Ray,152
2215,5215,CT Scan,68
2216,5216,CT Scan,161
2217,5217,CT Scan,20
2218,5218,CT Scan,67
2219,5219,X-Ray,167
2220,5220,X-Ray,130
2221,5221,X-Ray,42
2222,5222,X-Ray,125
2223,5223,Blood Test,177
2224,5224,Blood Test,173
2225,5225,Blood Test,60
2226,5226,Blood Test,88
2227,5227,Blood Test,68
2228,5228,CT Scan,40
2229,5229,X-Ray,89
2230,5230,CT Scan,58
2231,5231,Blood Test,46
2232,5232,Blood Test,40
2233,5233,Blood Test,67
2234,5234,CT Scan,39
2235,5235,MRI,83
2236,5236,X-Ray,79
2237,5237,MRI,159
2238,5238,X-Ray,55
2239,5239,CT Scan,48
2240,5240,MRI,134
2241,5241,X-Ray,99
2242,5242,X-Ray,91
2243,5243,CT Scan,62
2244,5244,MRI,59
2245,5245,CT Scan,179
2246,5246,X-Ray,126
2247,5247,Blood Test,54
2248,5248,Blood Test,118
2249,5249,Blood Test,32
2250,5250,CT Scan,113
2251,5251,MRI,18
2252,5252,MRI,61
2253,5253,X-Ray,65
2254,5254,X-Ray,162
2255,5255,X-Ray,132
2256,5256,Blood Test,140
2257,5257,Blood Test,103
2258,5258,X-Ray,58
2259,5259,CT Scan,31
2260,5260,Blood Test,62
2261,5261,Blood Test,61
2262,5262,Blood Test,20
2263,5263,X-Ray,47
2264,5264,Blood Test,79
2265,5265,CT Scan,84
2266,5266,CT Scan,157
2267,5267,CT Scan,30
2268,5268,CT Scan,111
2269,5269,X-Ray,42
2270,5270,MRI,30
2271,5271,Blood Test,30
2272,5272,Blood Test,149
2273,5273,MRI,52
2274,5274,CT Scan,83
2275,5275,MRI,55
2276,5276,MRI,79
2277,5277,Blood Test,139
2278,5278,X-Ray,105
2279,5279,CT Scan,71
2280,5280,MRI,111
2281,5281,X-Ray,32
2282,5282,MRI,96
2283,5283,CT Scan,38
2284,5284,CT Scan,24
2285,5285,CT Scan,38
2286,5286,CT Scan,113
2287,5287,CT Scan,164
2288,5288,Blood Test,96
2289,5289,Blood Test,86
2290,5290,CT Scan,65
2291,5291,CT Scan,51
2292,5292,CT Scan,25
2293,5293,Blood Test,138
2294,5294,Blood Test,28
2295,5295,MRI,108
2296,5296,X-Ray,46
2297,5297,X-Ray,100
2298,5298,MRI,106
2299,5299,Blood Test,168
2300,5300,X-Ray,106
2301,5301,CT Scan,110
2302,5302,Blood Test,161
2303,5303,CT Scan,64
2304,5304,X-Ray,69
2305,5305,X-Ray,143
2306,5306,Blood Test,58
2307,5307,Blood Test,165
2308,5308,MRI,128
2309,5309,MRI,103
2310,5310,X-Ray,71
2311,5311,MRI,81
2312,5312,Blood Test,179
2313,5313,X-Ray,30
2314,5314,Blood Test,57
2315,5315,MRI,27
2316,5316,Blood Test,26
2317,5317,MRI,48
2318,5318,MRI,58
2319,5319,CT Scan,73
2320,5320,Blood Test,131
2321,5321,CT Scan,56
2322,5322,MRI,47
2323,5323,MRI,171
2324,5324,Blood Test,133
2325,5325,X-Ray,161
2326,5326,CT Scan,86
2327,5327,X-Ray,27
2328,5328,Blood Test,75
2329,5329,MRI,42
2330,5330,MRI,137
2331,5331,CT Scan,132
2332,5332,X-Ray,124
2333,5333,CT Scan,30
2334,5334,CT Scan,158
2335,5335,MRI,142
2336,5336,CT Scan,79
2337,5337,Blood Test,25
2338,5338,MRI,119
2339,5339,CT Scan,23
2340,5340,Blood Test,93
2341,5341,X-Ray,159
2342,5342,CT Scan,91
2343,5343,MRI,145
2344,5344,X-Ray,39
2345,5345,X-Ray,40
2346,5346,MRI,60
2347,5347,Blood Test,68
2348,5348,X-Ray,164
2349,5349,CT Scan,153
2350,5350,MRI,84
2351,5351,X-Ray,25
2352,5352,MRI,132
2353,5353,MRI,88
2354,5354,X-Ray,32
2355,5355,MRI,169
2356,5356,X-Ray,51
2357,5357,CT Scan,152
2358,5358,CT Scan,164
2359,5359,MRI,140
2360,5360,X-Ray,169
2361,5361,CT Scan,168
2362,5362,X-Ray,76
2363,5363,MRI,94
2364,5364,X-Ray,169
2365,5365,X-Ray,111
2366,5366,X-Ray,143
2367,5367,X-Ray,31
2368,5368,Blood Test,38
2369,5369,CT Scan,122
2370,5370,Blood Test,142
2371,5371,CT Scan,120
2372,5372,Blood Test,35
2373,5373,X-Ray,35
2374,5374,MRI,156
2375,5375,CT Scan,101
2376,5376,MRI,123
2377,5377,Blood Test,22
2378,5378,MRI,105
2379,5379,X-Ray,152
2380,5380,CT Scan,50
2381,5381,X-Ray,21
2382,5382,CT Scan,111
2383,5383,X-Ray,106
2384,5384,X-Ray,120
2385,5385,Blood Test,28
2386,5386,Blood Test,141
2387,5387,X-Ray,130
2388,5388,X-Ray,179
2389,5389,CT Scan,135
2390,5390,MRI,128
2391,5391,Blood Test,110
2392,5392,X-Ray,105
2393,5393,X-Ray,158
2394,5394,CT Scan,53
2395,5395,MRI,133
2396,5396,X-Ray,33
2397,5397,CT Scan,29
2398,5398,CT Scan,17
2399,5399,CT Scan,96
2400,5400,Blood Test,110
2401,5401,MRI,74
2402,5402,Blood Test,36
2403,5403,Blood Test,140
2404,5404,CT Scan,88
2405,5405,MRI,53
2406,5406,CT Scan,129
2407,5407,MRI,171
2408,5408,CT Scan,40
2409,5409,CT Scan,154
2410,5410,CT Scan,143
2411,5411,MRI,85
2412,5412,MRI,171
2413,5413,X-Ray,89
2414,5414,Blood Test,146
2415,5415,X-Ray,66
2416,5416,X-Ray,93
2417,5417,X-Ray,99
2418,5418,X-Ray,167
2419,5419,CT Scan,87
2420,5420,X-Ray,38
2421,5421,MRI,165
2422,5422,Blood Test,71
2423,5423,X-Ray,69
2424,5424,X-Ray,17
2425,5425,MRI,30
2426,5426,Blood Test,39
2427,5427,Blood Test,77
2428,5428,X-Ray,166
2429,5429,X-Ray,136
2430,5430,Blood Test,115
2431,5431,X-Ray,49
2432,5432,MRI,150
2433,5433,CT Scan,157
2434,5434,Blood Test,59
2435,5435,X-Ray,19
2436,5436,CT Scan,58
2437,5437,X-Ray,58
2438,5438,Blood Test,157
2439,5439,MRI,147
2440,5440,X-Ray,169
2441,5441,Blood Test,66
2442,5442,Blood Test,52
2443,5443,MRI,100
2444,5444,X-Ray,146
2445,5445,X-Ray,98
2446,5446,CT Scan,130
2447,5447,MRI,70
2448,5448,CT Scan,159
2449,5449,X-Ray,141
2450,5450,CT Scan,111
2451,5451,CT Scan,66
2452,5452,X-Ray,92
2453,5453,CT Scan,108
2454,5454,X-Ray,70
2455,5455,Blood Test,41
2456,5456,CT Scan,146
2457,5457,MRI,45
2458,5458,Blood Test,67
2459,5459,X-Ray,54
2460,5460,MRI,96
2461,5461,MRI,24
2462,5462,CT Scan,159
2463,5463,CT Scan,98
2464,5464,MRI,83
2465,5465,CT Scan,65
2466,5466,Blood Test,102
2467,5467,CT Scan,134
2468,5468,Blood Test,118
2469,5469,CT Scan,124
2470,5470,Blood Test,26
2471,5471,Blood Test,52
2472,5472,Blood Test,42
2473,5473,Blood Test,21
2474,5474,MRI,43
2475,5475,MRI,37
2476,5476,Blood Test,97
2477,5477,Blood Test,155
2478,5478,X-Ray,113
2479,5479,CT Scan,49
2480,5480,CT Scan,176
2481,5481,X-Ray,35
2482,5482,CT Scan,85
2483,5483,Blood Test,142
2484,5484,X-Ray,172
2485,5485,CT Scan,35
2486,5486,CT Scan,48
2487,5487,Blood Test,124
2488,5488,X-Ray,158
2489,5489,MRI,160
2490,5490,CT Scan,77
2491,5491,Blood Test,48
2492,5492,MRI,65
2493,5493,MRI,53
2494,5494,MRI,114
2495,5495,Blood Test,126
2496,5496,MRI,140
2497,5497,X-Ray,142
2498,5498,Blood Test,162
2499,5499,X-Ray,67
2500,5500,X-Ray,62
2501,5501,X-Ray,64
2502,5502,CT Scan,128
2503,5503,Blood Test,104
2504,5504,Blood Test,118
2505,5505,MRI,32
2506,5506,Blood Test,153
2507,5507,Blood Test,46
2508,5508,CT Scan,137
2509,5509,Blood Test,98
2510,5510,MRI,158
2511,5511,Blood Test,113
2512,5512,X-Ray,40
2513,5513,MRI,111
2514,5514,CT Scan,81
2515,5515,MRI,139
2516,5516,MRI,34
2517,5517,MRI,157
2518,5518,CT Scan,64
2519,5519,X-Ray,31
2520,5520,Blood Test,109
2521,5521,CT Scan,139
2522,5522,X-Ray,98
2523,5523,CT Scan,58
2524,5524,Blood Test,32
2525,5525,Blood Test,100
2526,5526,CT Scan,140
2527,5527,X-Ray,89
2528,5528,Blood Test,33
2529,5529,X-Ray,29
2530,5530,MRI,52
2531,5531,X-Ray,22
2532,5532,X-Ray,56
2533,5533,Blood Test,112
2534,5534,X-Ray,30
2535,5535,Blood Test,115
2536,5536,MRI,101
2537,5537,Blood Test,108
2538,5538,MRI,144
2539,5539,CT Scan,132
2540,5540,X-Ray,83
2541,5541,X-Ray,141
2542,5542,X-Ray,77
2543,5543,CT Scan,15
2544,5544,CT Scan,115
2545,5545,CT Scan,73
2546,5546,CT Scan,61
2547,5547,X-Ray,117
2548,5548,X-Ray,152
2549,5549,Blood Test,34
2550,5550,CT Scan,18
2551,5551,Blood Test,33
2552,5552,CT Scan,100
2553,5553,CT Scan,116
2554,5554,X-Ray,126
2555,5555,X-Ray,160
2556,5556,X-Ray,15
2557,5557,CT Scan,65
2558,5558,Blood Test,55
2559,5559,Blood Test,20
2560,5560,MRI,109
2561,5561,MRI,136
2562,5562,MRI,16
2563,5563,MRI,60
2564,5564,X-Ray,179
2565,5565,Blood Test,98
2566,5566,CT Scan,153
2567,5567,MRI,137
2568,5568,MRI,164
2569,5569,CT Scan,111
2570,5570,Blood Test,50
2571,5571,X-Ray,99
2572,5572,Blood Test,164
2573,5573,Blood Test,157
2574,5574,Blood Test,147
2575,5575,Blood Test,45
2576,5576,CT Scan,99
2577,5577,CT Scan,111
2578,5578,MRI,124
2579,5579,X-Ray,37
2580,5580,MRI,129
2581,5581,CT Scan,124
2582,5582,MRI,91
2583,5583,MRI,173
2584,5584,CT Scan,171
2585,5585,X-Ray,137
2586,5586,X-Ray,174
2587,5587,Blood Test,47
2588,5588,Blood Test,165
2589,5589,CT Scan,131
2590,5590,Blood Test,130
2591,5591,MRI,39
2592,5592,CT Scan,151
2593,5593,X-Ray,35
2594,5594,MRI,157
2595,5595,X-Ray,161
2596,5596,MRI,95
2597,5597,MRI,153
2598,5598,X-Ray,48
2599,5599,MRI,76
2600,5600,X-Ray,157
2601,5601,MRI,167
2602,5602,X-Ray,40
2603,5603,X-Ray,25
2604,5604,MRI,39
2605,5605,X-Ray,159
2606,5606,X-Ray,177
2607,5607,Blood Test,146
2608,5608,CT Scan,177
2609,5609,Blood Test,125
2610,5610,Blood Test,25
2611,5611,MRI,76
2612,5612,CT Scan,140
2613,5613,Blood Test,163
2614,5614,CT Scan,77
2615,5615,MRI,154
2616,5616,Blood Test,179
2617,5617,Blood Test,41
2618,5618,X-Ray,170
2619,5619,CT Scan,53
2620,5620,MRI,76
2621,5621,Blood Test,57
2622,5622,CT Scan,150
2623,5623,CT Scan,28
2624,5624,MRI,125
2625,5625,MRI,31
2626,5626,X-Ray,74
2627,5627,Blood Test,154
2628,5628,CT Scan,116
2629,5629,Blood Test,96
2630,5630,Blood Test,166
2631,5631,X-Ray,53
2632,5632,X-Ray,50
2633,5633,MRI,107
2634,5634,Blood Test,111
2635,5635,Blood Test,27
2636,5636,CT Scan,69
2637,5637,Blood Test,169
2638,5638,Blood Test,167
2639,5639,X-Ray,82
2640,5640,CT Scan,119
2641,5641,MRI,75
2642,5642,Blood Test,81
2643,5643,Blood Test,158
2644,5644,Blood Test,88
2645,5645,Blood Test,149
2646,5646,Blood Test,167
2647,5647,MRI,102
2648,5648,X-Ray,129
2649,5649,MRI,149
2650,5650,Blood Test,154
2651,5651,X-Ray,131
2652,5652,CT Scan,19
2653,5653,Blood Test,170
2654,5654,X-Ray,29
2655,5655,Blood Test,27
2656,5656,MRI,84
2657,5657,X-Ray,67
2658,5658,Blood Test,161
2659,5659,Blood Test,108
2660,5660,MRI,48
2661,5661,Blood Test,97
2662,5662,MRI,20
2663,5663,Blood Test,166
2664,5664,X-Ray,97
2665,5665,CT Scan,142
2666,5666,CT Scan,43
2667,5667,MRI,88
2668,5668,Blood Test,25
2669,5669,CT Scan,33
2670,5670,X-Ray,28
2671,5671,CT Scan,16
2672,5672,MRI,124
2673,5673,MRI,77
2674,5674,X-Ray,118
2675,5675,Blood Test,79
2676,5676,Blood Test,130
2677,5677,CT Scan,130
2678,5678,CT Scan,95
2679,5679,X-Ray,78
2680,5680,Blood Test,143
2681,5681,MRI,167
2682,5682,X-Ray,35
2683,5683,Blood Test,90
2684,5684,CT Scan,76
2685,5685,MRI,109
2686,5686,X-Ray,18
2687,5687,MRI,115
2688,5688,MRI,89
2689,5689,Blood Test,156
2690,5690,MRI,126
2691,5691,CT Scan,154
2692,5692,MRI,169
2693,5693,CT Scan,134
2694,5694,MRI,86
2695,5695,Blood Test,87
2696,5696,X-Ray,84
2697,5697,MRI,130
2698,5698,CT Scan,165
2699,5699,MRI,49
2700,5700,Blood Test,85
2701,5701,MRI,142
2702,5702,MRI,45
2703,5703,Blood Test,165
2704,5704,X-Ray,168
2705,5705,CT Scan,57
2706,5706,Blood Test,55
2707,5707,MRI,44
2708,5708,X-Ray,50
2709,5709,CT Scan,51
2710,5710,CT Scan,144
2711,5711,MRI,70
2712,5712,CT Scan,120
2713,5713,CT Scan,30
2714,5714,Blood Test,58
2715,5715,MRI,25
2716,5716,CT Scan,108
2717,5717,Blood Test,169
2718,5718,CT Scan,37
2719,5719,Blood Test,166
2720,5720,X-Ray,57
2721,5721,X-Ray,151
2722,5722,Blood Test,117
2723,5723,Blood Test,58
2724,5724,X-Ray,37
2725,5725,MRI,177
2726,5726,Blood Test,72
2727,5727,X-Ray,21
2728,5728,CT Scan,99
2729,5729,Blood Test,92
2730,5730,Blood Test,138
2731,5731,X-Ray,149
2732,5732,Blood Test,54
2733,5733,X-Ray,51
2734,5734,MRI,179
2735,5735,Blood Test,176
2736,5736,Blood Test,30
2737,5737,CT Scan,80
2738,5738,CT Scan,89
2739,5739,Blood Test,47
2740,5740,Blood Test,26
2741,5741,Blood Test,158
2742,5742,X-Ray,69
2743,5743,Blood Test,126
2744,5744,X-Ray,161
2745,5745,Blood Test,30
2746,5746,CT Scan,171
2747,5747,X-Ray,135
2748,5748,CT Scan,16
2749,5749,X-Ray,99
2750,5750,Blood Test,35
2751,5751,Blood Test,76
2752,5752,CT Scan,144
2753,5753,X-Ray,105
2754,5754,CT Scan,98
2755,5755,MRI,121
2756,5756,CT Scan,58
2757,5757,Blood Test,160
2758,5758,Blood Test,109
2759,5759,MRI,59
2760,5760,CT Scan,119
2761,5761,MRI,119
2762,5762,Blood Test,138
2763,5763,MRI,167
2764,5764,X-Ray,164
2765,5765,MRI,161
2766,5766,X-Ray,94
2767,5767,Blood Test,66
2768,5768,CT Scan,139
2769,5769,Blood Test,176
2770,5770,MRI,108
2771,5771,Blood Test,58
2772,5772,CT Scan,39
2773,5773,MRI,39
2774,5774,Blood Test,133
2775,5775,X-Ray,18
2776,5776,X-Ray,107
2777,5777,MRI,49
2778,5778,MRI,111
2779,5779,CT Scan,91
2780,5780,CT Scan,89
2781,5781,Blood Test,84
2782,5782,CT Scan,119
2783,5783,CT Scan,146
2784,5784,Blood Test,54
2785,5785,MRI,16
2786,5786,X-Ray,42
2787,5787,MRI,102
2788,5788,Blood Test,89
2789,5789,MRI,163
2790,5790,MRI,138
2791,5791,Blood Test,116
2792,5792,Blood Test,108
2793,5793,Blood Test,28
2794,5794,CT Scan,54
2795,5795,MRI,111
2796,5796,X-Ray,40
2797,5797,CT Scan,117
2798,5798,Blood Test,168
2799,5799,X-Ray,112
2800,5800,X-Ray,120
2801,5801,X-Ray,21
2802,5802,Blood Test,178
2803,5803,MRI,91
2804,5804,Blood Test,84
2805,5805,MRI,113
2806,5806,MRI,44
2807,5807,MRI,151
2808,5808,Blood Test,144
2809,5809,CT Scan,84
2810,5810,X-Ray,70
2811,5811,X-Ray,111
2812,5812,CT Scan,132
2813,5813,CT Scan,23
2814,5814,Blood Test,146
2815,5815,X-Ray,71
2816,5816,MRI,176
2817,5817,Blood Test,31
2818,5818,CT Scan,40
2819,5819,MRI,69
2820,5820,MRI,64
2821,5821,X-Ray,20
2822,5822,MRI,113
2823,5823,MRI,88
2824,5824,X-Ray,44
2825,5825,X-Ray,118
2826,5826,MRI,110
2827,5827,CT Scan,145
2828,5828,MRI,27
2829,5829,MRI,165
2830,5830,Blood Test,95
2831,5831,MRI,39
2832,5832,Blood Test,32
2833,5833,X-Ray,171
2834,5834,CT Scan,54
2835,5835,X-Ray,171
2836,5836,CT Scan,153
2837,5837,CT Scan,82
2838,5838,CT Scan,178
2839,5839,CT Scan,157
2840,5840,Blood Test,146
2841,5841,Blood Test,121
2842,5842,CT Scan,84
2843,5843,MRI,105
2844,5844,Blood Test,46
2845,5845,CT Scan,142
2846,5846,X-Ray,135
2847,5847,MRI,147
2848,5848,MRI,134
2849,5849,Blood Test,119
2850,5850,MRI,163
2851,5851,X-Ray,70
2852,5852,Blood Test,125
2853,5853,Blood Test,48
2854,5854,X-Ray,118
2855,5855,Blood Test,22
2856,5856,Blood Test,70
2857,5857,CT Scan,140
2858,5858,X-Ray,97
2859,5859,X-Ray,33
2860,5860,X-Ray,152
2861,5861,CT Scan,16
2862,5862,CT Scan,90
2863,5863,X-Ray,90
2864,5864,CT Scan,36
2865,5865,Blood Test,79
2866,5866,X-Ray,165
2867,5867,MRI,87
2868,5868,X-Ray,117
2869,5869,X-Ray,16
2870,5870,Blood Test,112
2871,5871,Blood Test,59
2872,5872,MRI,145
2873,5873,CT Scan,135
2874,5874,CT Scan,37
2875,5875,Blood Test,102
2876,5876,X-Ray,169
2877,5877,X-Ray,55
2878,5878,MRI,175
2879,5879,Blood Test,79
2880,5880,MRI,71
2881,5881,Blood Test,51
2882,5882,Blood Test,56
2883,5883,MRI,110
2884,5884,CT Scan,35
2885,5885,CT Scan,41
2886,5886,X-Ray,106
2887,5887,MRI,112
2888,5888,Blood Test,120
2889,5889,X-Ray,101
2890,5890,MRI,129
2891,5891,CT Scan,77
2892,5892,X-Ray,113
2893,5893,Blood Test,135
2894,5894,MRI,143
2895,5895,X-Ray,124
2896,5896,X-Ray,145
2897,5897,CT Scan,17
2898,5898,CT Scan,173
2899,5899,CT Scan,176
2900,5900,X-Ray,162
2901,5901,X-Ray,143
2902,5902,X-Ray,169
2903,5903,CT Scan,97
2904,5904,Blood Test,176
2905,5905,Blood Test,41
2906,5906,MRI,151
2907,5907,Blood Test,39
2908,5908,CT Scan,95
2909,5909,X-Ray,98
2910,5910,CT Scan,28
2911,5911,Blood Test,105
2912,5912,X-Ray,174
2913,5913,CT Scan,26
2914,5914,MRI,136
2915,5915,CT Scan,146
2916,5916,Blood Test,175
2917,5917,CT Scan,37
2918,5918,X-Ray,168
2919,5919,Blood Test,77
2920,5920,MRI,48
2921,5921,MRI,171
2922,5922,MRI,105
2923,5923,X-Ray,28
2924,5924,CT Scan,91
2925,5925,CT Scan,49
2926,5926,Blood Test,125
2927,5927,CT Scan,131
2928,5928,MRI,171
2929,5929,Blood Test,132
2930,5930,MRI,85
2931,5931,CT Scan,103
2932,5932,X-Ray,15
2933,5933,MRI,77
2934,5934,Blood Test,69
2935,5935,X-Ray,93
2936,5936,CT Scan,49
2937,5937,CT Scan,94
2938,5938,Blood Test,52
2939,5939,CT Scan,134
2940,5940,MRI,104
2941,5941,MRI,43
2942,5942,CT Scan,90
2943,5943,MRI,84
2944,5944,X-Ray,21
2945,5945,X-Ray,94
2946,5946,CT Scan,94
2947,5947,CT Scan,65
2948,5948,MRI,142
2949,5949,X-Ray,153
2950,5950,CT Scan,137
2951,5951,Blood Test,48
2952,5952,X-Ray,45
2953,5953,MRI,175
2954,5954,X-Ray,131
2955,5955,X-Ray,97
2956,5956,CT Scan,82
2957,5957,CT Scan,46
2958,5958,MRI,156
2959,5959,X-Ray,37
2960,5960,X-Ray,136
2961,5961,MRI,139
2962,5962,X-Ray,144
2963,5963,MRI,172
2964,5964,X-Ray,166
2965,5965,Blood Test,115
2966,5966,Blood Test,127
2967,5967,MRI,102
2968,5968,Blood Test,18
2969,5969,MRI,142
2970,5970,Blood Test,53
2971,5971,Blood Test,149
2972,5972,CT Scan,75
2973,5973,X-Ray,53
2974,5974,X-Ray,142
2975,5975,X-Ray,133
2976,5976,Blood Test,38
2977,5977,X-Ray,130
2978,5978,CT Scan,82
2979,5979,Blood Test,156
2980,5980,X-Ray,172
2981,5981,CT Scan,33
2982,5982,X-Ray,78
2983,5983,CT Scan,95
2984,5984,MRI,129
2985,5985,Blood Test,24
2986,5986,Blood Test,31
2987,5987,CT Scan,36
2988,5988,Blood Test,146
2989,5989,CT Scan,27
2990,5990,X-Ray,96
2991,5991,CT Scan,20
2992,5992,X-Ray,70
2993,5993,Blood Test,179
2994,5994,X-Ray,155
2995,5995,CT Scan,110
2996,5996,Blood Test,74
2997,5997,Blood Test,168
2998,5998,X-Ray,36
2999,5999,CT Scan,118
3000,6000,Blood Test,46
3001,6001,X-Ray,65
3002,6002,MRI,29
3003,6003,MRI,165
3004,6004,MRI,139
3005,6005,X-Ray,135
3006,6006,X-Ray,64
3007,6007,MRI,143
3008,6008,CT Scan,131
3009,6009,MRI,30
3010,6010,Blood Test,94
3011,6011,Blood Test,150
3012,6012,X-Ray,30
3013,6013,Blood Test,39
3014,6014,MRI,63
3015,6015,CT Scan,162
3016,6016,MRI,107
3017,6017,Blood Test,117
3018,6018,CT Scan,26
3019,6019,MRI,146
3020,6020,CT Scan,63
3021,6021,CT Scan,60
3022,6022,CT Scan,18
3023,6023,CT Scan,48
3024,6024,X-Ray,53
3025,6025,CT Scan,160
3026,6026,CT Scan,21
3027,6027,MRI,99
3028,6028,X-Ray,34
3029,6029,MRI,86
