hospital_id,doctor_id,test_type,test_duration
2545,5545,2,73
2546,5546,2,61
2547,5547,1,117
2548,5548,1,152
2549,5549,0,34
2550,5550,2,18
2551,5551,0,33
2552,5552,2,100
2553,5553,2,116
2554,5554,1,126
2555,5555,1,160
2556,5556,1,15
2557,5557,2,65
2558,5558,0,55
2559,5559,0,20
2560,5560,3,109
2561,5561,3,136
2562,5562,3,16
2563,5563,3,60
2564,5564,1,179
2565,5565,0,98
2566,5566,2,153
2567,5567,3,137
2568,5568,3,164
2569,5569,2,111
2570,5570,0,50
2571,5571,1,99
2572,5572,0,164
2573,5573,0,157
2574,5574,0,147
2575,5575,0,45
2576,5576,2,99
2577,5577,2,111
2578,5578,3,124
2579,5579,1,37
2580,5580,3,129
2581,5581,2,124
2582,5582,3,91
2583,5583,3,173
2584,5584,2,171
2585,5585,1,137
2586,5586,1,174
2587,5587,0,47
2588,5588,0,165
2589,5589,2,131
2590,5590,0,130
2591,5591,3,39
2592,5592,2,151
2593,5593,1,35
2594,5594,3,157
2595,5595,1,161
2596,5596,3,95
2597,5597,3,153
2598,5598,1,48
2599,5599,3,76
2600,5600,1,157
2601,5601,3,167
2602,5602,1,40
2603,5603,1,25
2604,5604,3,39
2605,5605,1,159
2606,5606,1,177
2607,5607,0,146
2608,5608,2,177
2609,5609,0,125
2610,5610,0,25
2611,5611,3,76
2612,5612,2,140
2613,5613,0,163
2614,5614,2,77
2615,5615,3,154
2616,5616,0,179
2617,5617,0,41
2618,5618,1,170
2619,5619,2,53
2620,5620,3,76
2621,5621,0,57
2622,5622,2,150
2623,5623,2,28
2624,5624,3,125
2625,5625,3,31
2626,5626,1,74
2627,5627,0,154
2628,5628,2,116
2629,5629,0,96
2630,5630,0,166
2631,5631,1,53
2632,5632,1,50
2633,5633,3,107
2634,5634,0,111
2635,5635,0,27
2636,5636,2,69
2637,5637,0,169
2638,5638,0,167
2639,5639,1,82
2640,5640,2,119
2641,5641,3,75
2642,5642,0,81
2643,5643,0,158
2644,5644,0,88
2645,5645,0,149
2646,5646,0,167
2647,5647,3,102
2648,5648,1,129
2649,5649,3,149
2650,5650,0,154
2651,5651,1,131
2652,5652,2,19
2653,5653,0,170
2654,5654,1,29
2655,5655,0,27
2656,5656,3,84
2657,5657,1,67
2658,5658,0,161
2659,5659,0,108
2660,5660,3,48
2661,5661,0,97
2662,5662,3,20
2663,5663,0,166
2664,5664,1,97
2665,5665,2,142
2666,5666,2,43
2667,5667,3,88
2668,5668,0,25
2669,5669,2,33
2670,5670,1,28
2671,5671,2,16
2672,5672,3,124
2673,5673,3,77
2674,5674,1,118
2675,5675,0,79
2676,5676,0,130
2677,5677,2,130
2678,5678,2,95
2679,5679,1,78
2680,5680,0,143
2681,5681,3,167
2682,5682,1,35
2683,5683,0,90
2684,5684,2,76
2685,5685,3,109
2686,5686,1,18
2687,5687,3,115
2688,5688,3,89
2689,5689,0,156
2690,5690,3,126
2691,5691,2,154
2692,5692,3,169
2693,5693,2,134
2694,5694,3,86
2695,5695,0,87
2696,5696,1,84
2697,5697,3,130
2698,5698,2,165
2699,5699,3,49
2700,5700,0,85
2701,5701,3,142
2702,5702,3,45
2703,5703,0,165
2704,5704,1,168
2705,5705,2,57
2706,5706,0,55
2707,5707,3,44
2708,5708,1,50
2709,5709,2,51
2710,5710,2,144
2711,5711,3,70
2712,5712,2,120
2713,5713,2,30
2714,5714,0,58
2715,5715,3,25
2716,5716,2,108
2717,5717,0,169
2718,5718,2,37
2719,5719,0,166
2720,5720,1,57
2721,5721,1,151
2722,5722,0,117
2723,5723,0,58
2724,5724,1,37
2725,5725,3,177
2726,5726,0,72
2727,5727,1,21
2728,5728,2,99
2729,5729,0,92
2730,5730,0,138
2731,5731,1,149
2732,5732,0,54
2733,5733,1,51
2734,5734,3,179
2735,5735,0,176
2736,5736,0,30
2737,5737,2,80
2738,5738,2,89
2739,5739,0,47
2740,5740,0,26
2741,5741,0,158
2742,5742,1,69
2743,5743,0,126
2744,5744,1,161
2745,5745,0,30
2746,5746,2,171
2747,5747,1,135
2748,5748,2,16
2749,5749,1,99
2750,5750,0,35
2751,5751,0,76
2752,5752,2,144
2753,5753,1,105
2754,5754,2,98
2755,5755,3,121
2756,5756,2,58
2757,5757,0,160
2758,5758,0,109
2759,5759,3,59
2760,5760,2,119
2761,5761,3,119
2762,5762,0,138
2763,5763,3,167
2764,5764,1,164
2765,5765,3,161
2766,5766,1,94
2767,5767,0,66
2768,5768,2,139
2769,5769,0,176
2770,5770,3,108
2771,5771,0,58
2772,5772,2,39
2773,5773,3,39
2774,5774,0,133
2775,5775,1,18
2776,5776,1,107
2777,5777,3,49
2778,5778,3,111
2779,5779,2,91
2780,5780,2,89
2781,5781,0,84
2782,5782,2,119
2783,5783,2,146
2784,5784,0,54
2785,5785,3,16
2786,5786,1,42
2787,5787,3,102
2788,5788,0,89
2789,5789,3,163
2790,5790,3,138
2791,5791,0,116
2792,5792,0,108
2793,5793,0,28
2794,5794,2,54
2795,5795,3,111
2796,5796,1,40
2797,5797,2,117
2798,5798,0,168
2799,5799,1,112
2800,5800,1,120
2801,5801,1,21
2802,5802,0,178
2803,5803,3,91
2804,5804,0,84
2805,5805,3,113
2806,5806,3,44
2807,5807,3,151
2808,5808,0,144
2809,5809,2,84
2810,5810,1,70
2811,5811,1,111
2812,5812,2,132
2813,5813,2,23
2814,5814,0,146
2815,5815,1,71
2816,5816,3,176
2817,5817,0,31
2818,5818,2,40
2819,5819,3,69
2820,5820,3,64
2821,5821,1,20
2822,5822,3,113
2823,5823,3,88
2824,5824,1,44
2825,5825,1,118
2826,5826,3,110
2827,5827,2,145
2828,5828,3,27
2829,5829,3,165
2830,5830,0,95
2831,5831,3,39
2832,5832,0,32
2833,5833,1,171
2834,5834,2,54
2835,5835,1,171
2836,5836,2,153
2837,5837,2,82
2838,5838,2,178
2839,5839,2,157
2840,5840,0,146
2841,5841,0,121
2842,5842,2,84
2843,5843,3,105
2844,5844,0,46
2845,5845,2,142
2846,5846,1,135
2847,5847,3,147
2848,5848,3,134
2849,5849,0,119
2850,5850,3,163
2851,5851,1,70
2852,5852,0,125
2853,5853,0,48
2854,5854,1,118
2855,5855,0,22
2856,5856,0,70
2857,5857,2,140
2858,5858,1,97
2859,5859,1,33
2860,5860,1,152
2861,5861,2,16
2862,5862,2,90
2863,5863,1,90
2864,5864,2,36
2865,5865,0,79
2866,5866,1,165
2867,5867,3,87
2868,5868,1,117
2869,5869,1,16
2870,5870,0,112
2871,5871,0,59
2872,5872,3,145
2873,5873,2,135
2874,5874,2,37
2875,5875,0,102
2876,5876,1,169
2877,5877,1,55
2878,5878,3,175
2879,5879,0,79
2880,5880,3,71
2881,5881,0,51
2882,5882,0,56
2883,5883,3,110
2884,5884,2,35
2885,5885,2,41
2886,5886,1,106
2887,5887,3,112
2888,5888,0,120
2889,5889,1,101
2890,5890,3,129
2891,5891,2,77
2892,5892,1,113
2893,5893,0,135
2894,5894,3,143
2895,5895,1,124
2896,5896,1,145
2897,5897,2,17
2898,5898,2,173
2899,5899,2,176
2900,5900,1,162
2901,5901,1,143
2902,5902,1,169
2903,5903,2,97
2904,5904,0,176
2905,5905,0,41
2906,5906,3,151
2907,5907,0,39
2908,5908,2,95
2909,5909,1,98
2910,5910,2,28
2911,5911,0,105
2912,5912,1,174
2913,5913,2,26
2914,5914,3,136
2915,5915,2,146
2916,5916,0,175
2917,5917,2,37
2918,5918,1,168
2919,5919,0,77
2920,5920,3,48
2921,5921,3,171
2922,5922,3,105
2923,5923,1,28
2924,5924,2,91
2925,5925,2,49
2926,5926,0,125
2927,5927,2,131
2928,5928,3,171
2929,5929,0,132
2930,5930,3,85
2931,5931,2,103
2932,5932,1,15
2933,5933,3,77
2934,5934,0,69
2935,5935,1,93
2936,5936,2,49
2937,5937,2,94
2938,5938,0,52
2939,5939,2,134
2940,5940,3,104
2941,5941,3,43
2942,5942,2,90
2943,5943,3,84
2944,5944,1,21
2945,5945,1,94
2946,5946,2,94
2947,5947,2,65
2948,5948,3,142
2949,5949,1,153
2950,5950,2,137
2951,5951,0,48
2952,5952,1,45
2953,5953,3,175
2954,5954,1,131
2955,5955,1,97
2956,5956,2,82
2957,5957,2,46
2958,5958,3,156
2959,5959,1,37
2960,5960,1,136
2961,5961,3,139
2962,5962,1,144
2963,5963,3,172
2964,5964,1,166
2965,5965,0,115
2966,5966,0,127
2967,5967,3,102
2968,5968,0,18
2969,5969,3,142
2970,5970,0,53
2971,5971,0,149
2972,5972,2,75
2973,5973,1,53
2974,5974,1,142
2975,5975,1,133
2976,5976,0,38
2977,5977,1,130
2978,5978,2,82
2979,5979,0,156
2980,5980,1,172
2981,5981,2,33
2982,5982,1,78
2983,5983,2,95
2984,5984,3,129
2985,5985,0,24
2986,5986,0,31
2987,5987,2,36
2988,5988,0,146
2989,5989,2,27
2990,5990,1,96
2991,5991,2,20
2992,5992,1,70
2993,5993,0,179
2994,5994,1,155
2995,5995,2,110
2996,5996,0,74
2997,5997,0,168
2998,5998,1,36
2999,5999,2,118
3000,6000,0,46
3001,6001,1,65
3002,6002,3,29
3003,6003,3,165
3004,6004,3,139
3005,6005,1,135
3006,6006,1,64
3007,6007,3,143
3008,6008,2,131
3009,6009,3,30
3010,6010,0,94
3011,6011,0,150
3012,6012,1,30
3013,6013,0,39
3014,6014,3,63
3015,6015,2,162
3016,6016,3,107
3017,6017,0,117
3018,6018,2,26
3019,6019,3,146
3020,6020,2,63
3021,6021,2,60
3022,6022,2,18
3023,6023,2,48
3024,6024,1,53
3025,6025,2,160
3026,6026,2,21
3027,6027,3,99
3028,6028,1,34
3029,6029,3,86
3030,6030,2,22
3031,6031,3,87
3032,6032,0,32
3033,6033,2,116
3034,6034,3,113
3035,6035,0,95
3036,6036,3,152
3037,6037,3,109
3038,6038,2,157
3039,6039,2,91
3040,6040,1,49
3041,6041,3,176
3042,6042,2,29
3043,6043,2,124
3044,6044,3,99
3045,6045,1,115
3046,6046,1,73
3047,6047,0,68
3048,6048,2,120
3049,6049,2,114
3050,6050,3,163
3051,6051,2,64
3052,6052,2,164
3053,6053,1,113
3054,6054,1,81
3055,6055,1,127
3056,6056,3,139
3057,6057,2,48
3058,6058,2,116
3059,6059,2,95
3060,6060,0,142
3061,6061,3,100
3062,6062,3,62
3063,6063,3,147
3064,6064,2,81
3065,6065,2,90
3066,6066,3,49
3067,6067,3,105
3068,6068,1,60
3069,6069,3,158
3070,6070,2,84
3071,6071,1,164
3072,6072,0,95
3073,6073,1,35
3074,6074,0,166
3075,6075,1,91
3076,6076,1,29
3077,6077,2,56
3078,6078,3,88
3079,6079,2,138
3080,6080,1,131
3081,6081,2,169
3082,6082,2,134
3083,6083,2,73
3084,6084,1,55
3085,6085,3,33
3086,6086,1,137
3087,6087,2,64
3088,6088,3,65
3089,6089,2,22
3090,6090,0,81
3091,6091,2,168
3092,6092,2,141
3093,6093,0,149
3094,6094,0,108
3095,6095,1,120
3096,6096,2,150
3097,6097,0,140
3098,6098,2,140
3099,6099,3,130
3100,6100,2,120
3101,6101,2,157
3102,6102,3,66
3103,6103,1,177
3104,6104,2,143
3105,6105,1,148
3106,6106,0,112
3107,6107,1,16
3108,6108,3,84
3109,6109,2,113
3110,6110,0,125
3111,6111,3,81
3112,6112,0,153
3113,6113,1,74
3114,6114,3,158
3115,6115,1,141
3116,6116,1,92
3117,6117,1,119
3118,6118,1,139
3119,6119,0,110
3120,6120,1,157
3121,6121,3,67
3122,6122,1,107
3123,6123,1,56
3124,6124,2,80
3125,6125,3,112
3126,6126,0,164
3127,6127,0,156
3128,6128,3,43
3129,6129,0,80
3130,6130,3,60
3131,6131,1,92
3132,6132,2,120
3133,6133,2,52
3134,6134,3,96
3135,6135,1,60
3136,6136,0,61
3137,6137,0,21
3138,6138,2,57
3139,6139,3,124
3140,6140,3,31
3141,6141,2,130
3142,6142,3,142
3143,6143,1,109
3144,6144,1,94
3145,6145,3,123
3146,6146,0,127
3147,6147,1,38
3148,6148,1,137
3149,6149,2,91
3150,6150,3,82
3151,6151,0,38
3152,6152,3,119
3153,6153,0,153
3154,6154,3,59
3155,6155,2,130
3156,6156,2,136
3157,6157,2,30
3158,6158,3,152
3159,6159,2,16
3160,6160,3,93
3161,6161,1,172
3162,6162,2,94
3163,6163,0,158
3164,6164,1,18
3165,6165,3,76
3166,6166,1,117
3167,6167,1,150
3168,6168,2,132
3169,6169,0,57
3170,6170,0,96
3171,6171,2,101
3172,6172,1,33
3173,6173,1,18
3174,6174,1,71
3175,6175,1,123
3176,6176,0,153
3177,6177,3,65
3178,6178,1,72
3179,6179,0,68
3180,6180,3,80
3181,6181,0,20
3182,6182,2,163
3183,6183,1,77
3184,6184,2,132
3185,6185,2,129
3186,6186,1,72
3187,6187,3,71
3188,6188,3,125
3189,6189,1,115
3190,6190,2,166
3191,6191,1,28
3192,6192,2,45
3193,6193,2,53
3194,6194,0,165
3195,6195,2,42
3196,6196,2,128
3197,6197,1,166
3198,6198,2,56
3199,6199,1,125
3200,6200,3,81
3201,6201,2,171
3202,6202,0,125
3203,6203,3,124
3204,6204,0,156
3205,6205,0,150
3206,6206,2,155
3207,6207,2,139
3208,6208,1,171
3209,6209,1,27
3210,6210,3,61
3211,6211,2,61
3212,6212,1,93
3213,6213,1,43
3214,6214,2,155
3215,6215,1,31
3216,6216,1,114
3217,6217,2,179
3218,6218,0,92
3219,6219,1,167
3220,6220,0,143
3221,6221,2,43
3222,6222,0,34
3223,6223,3,72
3224,6224,0,154
3225,6225,2,15
3226,6226,0,174
3227,6227,2,74
3228,6228,0,169
3229,6229,0,171
3230,6230,0,72
3231,6231,3,77
3232,6232,1,83
3233,6233,0,152
3234,6234,3,91
3235,6235,2,164
3236,6236,3,130
3237,6237,0,147
3238,6238,2,128
3239,6239,2,172
3240,6240,0,63
3241,6241,2,51
3242,6242,1,106
3243,6243,0,29
3244,6244,3,139
3245,6245,3,53
3246,6246,0,59
3247,6247,0,106
3248,6248,0,102
3249,6249,3,76
3250,6250,1,22
3251,6251,0,15
3252,6252,1,123
3253,6253,3,132
3254,6254,1,31
3255,6255,1,115
3256,6256,0,58
3257,6257,0,148
3258,6258,3,175
3259,6259,2,88
3260,6260,0,43
3261,6261,2,169
3262,6262,1,134
3263,6263,0,128
3264,6264,0,139
3265,6265,1,44
3266,6266,3,148
3267,6267,2,171
3268,6268,0,179
3269,6269,0,113
3270,6270,3,30
3271,6271,2,73
3272,6272,2,150
3273,6273,3,134
3274,6274,1,48
3275,6275,2,46
3276,6276,0,148
3277,6277,1,117
3278,6278,2,175
3279,6279,2,124
3280,6280,0,175
3281,6281,2,57
3282,6282,3,105
3283,6283,0,45
3284,6284,2,68
3285,6285,2,50
3286,6286,3,156
3287,6287,2,132
3288,6288,0,21
3289,6289,1,164
3290,6290,1,53
3291,6291,0,24
3292,6292,3,78
3293,6293,0,167
3294,6294,1,113
3295,6295,0,162
3296,6296,2,30
3297,6297,1,38
3298,6298,3,151
3299,6299,0,98
3300,6300,1,85
3301,6301,0,140
3302,6302,2,26
3303,6303,2,161
3304,6304,3,32
3305,6305,2,90
3306,6306,3,104
3307,6307,0,48
3308,6308,3,126
3309,6309,3,71
3310,6310,1,141
3311,6311,2,162
3312,6312,3,58
3313,6313,0,176
3314,6314,0,30
3315,6315,2,82
3316,6316,0,37
3317,6317,2,125
3318,6318,3,112
3319,6319,2,47
3320,6320,1,133
3321,6321,0,112
3322,6322,2,47
3323,6323,0,21
3324,6324,3,123
3325,6325,3,30
3326,6326,3,20
3327,6327,2,68
3328,6328,1,117
3329,6329,3,160
3330,6330,0,153
3331,6331,3,40
3332,6332,3,34
3333,6333,3,48
3334,6334,1,70
3335,6335,0,68
3336,6336,0,116
3337,6337,2,71
3338,6338,0,77
3339,6339,2,142
3340,6340,0,139
3341,6341,1,45
3342,6342,3,81
3343,6343,2,167
3344,6344,1,54
3345,6345,3,146
3346,6346,3,57
3347,6347,1,94
3348,6348,2,148
3349,6349,3,48
3350,6350,0,98
3351,6351,2,113
3352,6352,0,176
3353,6353,3,172
3354,6354,3,56
3355,6355,0,99
3356,6356,0,18
3357,6357,3,86
3358,6358,0,88
3359,6359,3,164
3360,6360,0,121
3361,6361,2,156
3362,6362,3,122
3363,6363,1,72
3364,6364,0,37
3365,6365,0,93
3366,6366,2,15
3367,6367,0,53
3368,6368,3,133
3369,6369,3,118
3370,6370,1,148
3371,6371,0,156
3372,6372,2,140
3373,6373,3,121
3374,6374,3,88
3375,6375,1,63
3376,6376,3,72
3377,6377,2,43
3378,6378,2,58
3379,6379,2,77
3380,6380,1,37
3381,6381,0,55
3382,6382,0,72
3383,6383,3,99
3384,6384,3,80
3385,6385,0,104
3386,6386,2,146
3387,6387,1,78
3388,6388,3,108
3389,6389,3,175
3390,6390,3,155
3391,6391,0,112
3392,6392,1,27
3393,6393,2,120
3394,6394,1,157
